component_id,artifact_id,source_population,stratum,attack_related,raw_component_median_latency_ns,paired_h0_median_latency_ns,composed_path_median_latency_ns,paired_component_minus_load_difference_median_ns,peak_traced_allocation_bytes,canonical_bytes,bundle_bytes,N_operations,N_modes,schedule_operation_count,recorded_repetitions
H1,052b2dfeb855619b4e74c70e7155e5699a6aebc572c887f1432462ecf4afce6b,A26_RETAINED_ACCEPTED_BUNDLES_V1,accepted,False,19741950.0,9796800.0,29618150.0,9884750.0,5129262,755121,755121,150,451,150,100
H1,0edc936e36dbd00367c35ec096b127c69211776f53ead8d7b9619a78d9b3beb5,A26_RETAINED_ACCEPTED_BUNDLES_V1,accepted,False,20584650.0,10031450.0,30690250.0,10337850.0,5149958,779480,779480,150,490,150,100
H1,19993579c580ecb799e1ce158990340e547863ae75c4be153b97908cb5cd08a2,A26_RETAINED_ACCEPTED_BUNDLES_V1,accepted,False,9708650.0,5199850.0,15031300.0,4404000.0,2680623,376417,376417,90,172,90,100
H1,1bb3dc3f26212de23def1f2ca0d598d344fea56b8a73247e2f6390ebea07946d,A26_RETAINED_ACCEPTED_BUNDLES_V1,accepted,False,9802950.0,4981150.0,14926250.0,4847750.0,2681553,376647,376647,90,172,90,100
H1,2443e5a3d32298289c0b98d2a7d3a03cbf4194a7adecf97293b0ac348944ba9e,A26_RETAINED_ACCEPTED_BUNDLES_V1,accepted,False,19715700.0,9754200.0,29639400.0,10057900.0,5117288,755111,755111,150,451,150,100
H1,245cb7ed72fd0a10da80157bd648a7ae9e8bd9ef722909fe778d274715ad67b3,A26_RETAINED_ACCEPTED_BUNDLES_V1,accepted,False,9353100.0,5111750.0,14518900.0,4191950.0,2610302,369530,369530,90,172,90,100
H1,268469c82535bf1ba82a82324d755f40ad8bc7255c875b8e25c2d7943cff1ff3,A26_RETAINED_ACCEPTED_BUNDLES_V1,accepted,False,20586250.0,9958750.0,30716250.0,10408600.0,5162580,779262,779262,150,490,150,100
H1,2908e9ba69598735be8757d9b153473f5bacec1feb89ecff91ce994824a10178,A26_RETAINED_ACCEPTED_BUNDLES_V1,accepted,False,20705950.0,10052200.0,31041250.0,10679800.0,5149489,778769,778769,150,490,150,100
H1,474b6ef7aac2feb7cb9195d7d3644f0d53d378eb4518ef87a9a2f7714d8ef3d5,A26_RETAINED_ACCEPTED_BUNDLES_V1,accepted,False,9604850.0,5139550.0,14824250.0,4464100.0,2640955,371559,371559,90,172,90,100
H1,4fafb9a13ff5e2fda82a804bf609727b68a17926d69ae1574c4801604ec81359,A26_RETAINED_ACCEPTED_BUNDLES_V1,accepted,False,9718300.0,5237050.0,14999050.0,4427350.0,2640925,371549,371549,90,172,90,100
H1,54349d927b9070c144f507868f9ef8b962c7c926426b33c3a7e0c88f715b246a,A26_RETAINED_ACCEPTED_BUNDLES_V1,accepted,False,9487100.0,5237800.0,14826050.0,4394400.0,2640702,371510,371510,90,172,90,100
H1,558b8365de15727bf495595ed539867872c185b280ea249712f3b1d5f8674cd5,A26_RETAINED_ACCEPTED_BUNDLES_V1,accepted,False,9642150.0,5283250.0,14999900.0,4268600.0,2640865,371529,371529,90,172,90,100
H1,5ecccd77f46ab5549088b57686632a9eb5ccf1a5a977fbe35cfae6a50eca52bb,A26_RETAINED_ACCEPTED_BUNDLES_V1,accepted,False,9523650.0,5097100.0,14643900.0,4607850.0,2596544,366528,366528,90,172,90,100
H1,5f24b2bbe16d5c8f667064d5031553e1dd9c4d9dbb7e0757cb922d9ba47928d5,A26_RETAINED_ACCEPTED_BUNDLES_V1,accepted,False,9547600.0,5259950.0,14923000.0,4241050.0,2641423,371715,371715,90,172,90,100
H1,61f77c0251bcd2bbb51e6bff7e048bfcda7139b4e796314d32b47961ac3b5c1b,A26_RETAINED_ACCEPTED_BUNDLES_V1,accepted,False,9609450.0,5262950.0,14989900.0,4402400.0,2648478,373222,373222,90,172,90,100
H1,634f3d08fd93ba622176ea6c9ff7ff1fb9d57a9b14f936f27d1460655fc20d72,A26_RETAINED_ACCEPTED_BUNDLES_V1,accepted,False,9448900.0,5167900.0,14732650.0,4322450.0,2608943,369189,369189,90,172,90,100
H1,73cdcc11d1c23e47664696979a9b12b94deb5da000c18f37a8d7c0b641090788,A26_RETAINED_ACCEPTED_BUNDLES_V1,accepted,False,19990250.0,9720550.0,29870850.0,10165850.0,5117669,755370,755370,150,451,150,100
H1,7dc2cc636acd7eeb3db7367222360894cac918d6adca467d2f7a79960bbe8b1c,A26_RETAINED_ACCEPTED_BUNDLES_V1,accepted,False,9680350.0,5213800.0,14912950.0,4435450.0,2643402,372138,372138,90,172,90,100
H1,8c60197386a54af6d06cac0996c81cbca4971ac83984afcf2a52fa27a5bb1b42,A26_RETAINED_ACCEPTED_BUNDLES_V1,accepted,False,9632000.0,5279300.0,15109250.0,4294600.0,2643723,372245,372245,90,172,90,100
H1,8e3a1df6f55a6d53d21fd63c9dcda45cee6d1576c4989d45b40828d31e6d7281,A26_RETAINED_ACCEPTED_BUNDLES_V1,accepted,False,9652600.0,5406550.0,15149350.0,4237400.0,2641089,371639,371639,90,172,90,100
H1,97eb8ea8dfec0a163a4b54e1179247553055627de3df3d7a40c8879cacc64800,A26_RETAINED_ACCEPTED_BUNDLES_V1,accepted,False,20114750.0,9744200.0,29975850.0,10118600.0,5116914,754947,754947,150,451,150,100
H1,9827288498c6ff63f3f7ec6f3bb833b53ac1c3cbaf59021addc82b6a8c08bae2,A26_RETAINED_ACCEPTED_BUNDLES_V1,accepted,False,19900950.0,9739700.0,29746550.0,9970200.0,5116938,754955,754955,150,451,150,100
H1,9f7906189c782cba7c3a4cc9cb8785764c8ad3fb1e637423a7a310d6c438feb5,A26_RETAINED_ACCEPTED_BUNDLES_V1,accepted,False,10164200.0,5420200.0,15614900.0,4610550.0,2680254,376294,376294,90,172,90,100
H1,A22_ATTACK_PURE_001,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_reject,True,51450.0,151400.0,203700.0,-102050.0,10036,2292,2292,,,,100
H1,A22_ATTACK_PURE_002,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_reject,True,47950.0,148800.0,197950.0,-105350.0,9157,1999,1999,,,,100
H1,A22_ATTACK_PURE_003,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_reject,True,56000.0,151750.0,203400.0,-105400.0,9634,2158,2158,,,,100
H1,A22_ATTACK_PURE_004,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_reject,True,50550.0,147700.0,196350.0,-102450.0,9214,2018,2018,,,,100
H1,A22_ATTACK_PURE_005,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_reject,True,61250.0,153750.0,212700.0,-98250.0,11641,2827,2827,,,,100
H1,A22_ATTACK_PURE_006,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_reject,True,50800.0,151150.0,199650.0,-107400.0,8974,1938,1938,,,,100
H1,A22_ATTACK_PURE_007,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_reject,True,57750.0,152400.0,206400.0,-104600.0,10012,2284,2284,,,,100
H1,A22_ATTACK_PURE_008,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_reject,True,52500.0,151150.0,203200.0,-102700.0,10072,2304,2304,,,,100
H1,A22_ATTACK_PURE_009,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_reject,True,51400.0,149900.0,199050.0,-103150.0,9388,2076,2076,,,,100
H1,A22_ATTACK_PURE_010,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_reject,True,49950.0,150450.0,200650.0,-104600.0,9538,2126,2126,,,,100
H1,A22_ATTACK_PURE_011,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_reject,True,52700.0,151000.0,202550.0,-103350.0,9361,2067,2067,,,,100
H1,A22_ATTACK_PURE_012,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_reject,True,48150.0,150650.0,199400.0,-105150.0,9259,2033,2033,,,,100
H1,A22_ATTACK_PURE_013,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_reject,True,58600.0,154050.0,209500.0,-105650.0,10312,2384,2384,,,,100
H1,A22_ATTACK_PURE_014,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_reject,True,52650.0,151550.0,203950.0,-103750.0,9811,2217,2217,,,,100
H1,A22_ATTACK_PURE_015,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_reject,True,52900.0,149900.0,197350.0,-107050.0,8617,1819,1819,,,,100
H1,A22_ATTACK_PURE_016,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_reject,True,57500.0,153200.0,208950.0,-103150.0,10630,2490,2490,,,,100
H1,A22_ATTACK_PURE_017,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_reject,True,56750.0,154150.0,208750.0,-105000.0,10525,2455,2455,,,,100
H1,A22_ATTACK_PURE_018,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_reject,True,54600.0,151800.0,202150.0,-106950.0,9457,2099,2099,,,,100
H1,A22_ATTACK_PURE_019,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_reject,True,55400.0,151450.0,202300.0,-105950.0,9586,2142,2142,,,,100
H1,A22_ATTACK_PURE_020,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_reject,True,51900.0,150850.0,201500.0,-105850.0,9172,2004,2004,,,,100
H1,A22_ATTACK_UNDERLYING_001,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,True,65900.0,157300.0,216850.0,-104050.0,11561,2465,2465,,,,100
H1,A22_ATTACK_UNDERLYING_002,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,True,129350.0,205200.0,328350.0,-87700.0,28142,7928,7928,,,,100
H1,A22_ATTACK_UNDERLYING_003,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,True,72600.0,161850.0,230000.0,-97700.0,13922,3252,3252,,,,100
H1,A22_ATTACK_UNDERLYING_004,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,True,94650.0,188400.0,278350.0,-99600.0,19634,5092,5092,,,,100
H1,A22_ATTACK_UNDERLYING_005,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,True,70600.0,162650.0,228000.0,-103500.0,13235,3023,3023,,,,100
H1,A22_ATTACK_UNDERLYING_006,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,True,81600.0,182450.0,260600.0,-111000.0,16169,3937,3937,,,,100
H1,A22_ATTACK_UNDERLYING_007,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,True,64300.0,160200.0,220350.0,-105850.0,11738,2524,2524,,,,100
H1,A22_ATTACK_UNDERLYING_008,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,True,70750.0,177150.0,247500.0,-113300.0,14090,3244,3244,,,,100
H1,A22_ATTACK_UNDERLYING_009,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,True,54750.0,153350.0,209300.0,-99400.0,10676,2170,2170,,,,100
H1,A22_ATTACK_UNDERLYING_010,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,True,116650.0,200250.0,313600.0,-92300.0,25817,7153,7153,,,,100
H1,A22_ATTACK_UNDERLYING_011,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,True,63200.0,156550.0,213650.0,-104950.0,11414,2416,2416,,,,100
H1,A22_ATTACK_UNDERLYING_012,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,True,177700.0,232700.0,404550.0,-68800.0,41393,12345,12345,,,,100
H1,A22_ATTACK_UNDERLYING_013,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,True,68750.0,162200.0,226950.0,-103900.0,13181,3005,3005,,,,100
H1,A22_ATTACK_UNDERLYING_014,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,True,73500.0,178700.0,247950.0,-110900.0,13544,3062,3062,,,,100
H1,A22_ATTACK_UNDERLYING_015,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,True,68150.0,162000.0,224300.0,-105300.0,12128,2654,2654,,,,100
H1,A22_ATTACK_UNDERLYING_016,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,True,76500.0,180800.0,253750.0,-113200.0,14615,3419,3419,,,,100
H1,A22_ATTACK_UNDERLYING_017,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,True,57750.0,157950.0,214600.0,-102500.0,10982,2272,2272,,,,100
H1,A22_ATTACK_UNDERLYING_018,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,True,147200.0,207700.0,350800.0,-73300.0,40403,12015,12015,,,,100
H1,A22_ATTACK_UNDERLYING_019,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,True,60650.0,159500.0,217650.0,-107350.0,11117,2317,2317,,,,100
H1,A22_ATTACK_UNDERLYING_020,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,True,149650.0,218300.0,364050.0,-73100.0,34607,10083,10083,,,,100
H1,A22_COMPOSITE_NEW_ORDER_001,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,73150.0,180000.0,252850.0,-114350.0,14157,3085,3085,,,,100
H1,A22_COMPOSITE_NEW_ORDER_002,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,89500.0,183650.0,267300.0,-95800.0,18459,4519,4519,,,,100
H1,A22_COMPOSITE_NEW_ORDER_003,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,61700.0,157250.0,215000.0,-103100.0,11034,2044,2044,,,,100
H1,A22_COMPOSITE_NEW_ORDER_004,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,73800.0,166150.0,234100.0,-101850.0,14196,3098,3098,,,,100
H1,A22_COMPOSITE_NEW_ORDER_005,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,68300.0,175950.0,241450.0,-111800.0,12498,2532,2532,,,,100
H1,A22_COMPOSITE_NEW_ORDER_006,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,61900.0,173950.0,235500.0,-118750.0,11292,2130,2130,,,,100
H1,A22_COMPOSITE_NEW_ORDER_007,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,113900.0,197800.0,304000.0,-99250.0,26577,7225,7225,,,,100
H1,A22_COMPOSITE_NEW_ORDER_008,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,68100.0,165200.0,225400.0,-109250.0,11625,2241,2241,,,,100
H1,A22_COMPOSITE_NEW_ORDER_009,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,60000.0,159300.0,219600.0,-103750.0,11862,2320,2320,,,,100
H1,A22_COMPOSITE_NEW_ORDER_010,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,68400.0,175750.0,239050.0,-119850.0,11460,2186,2186,,,,100
H1,A22_COMPOSITE_NEW_ORDER_011,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,62650.0,173900.0,237150.0,-112800.0,12207,2435,2435,,,,100
