reporting_group,reporting_scope,component_id,stratum,attack_related,metric_role,median,q1,q3,iqr,mad,p95,n,artifact_count,not_an_overhead_estimate
H1_A22,PRIMARY_STRATUM,H1,H1_A22,ALL,raw_component_latency_ns,67400.0,56700.0,83100.0,26400.0,12100.0,173100.0,16000,160,False
H1_A22,PRIMARY_STRATUM,H1,H1_A22,ALL,paired_h0_latency_ns,171100.0,159200.0,185800.0,26600.0,12900.0,248404.99999999994,16000,160,False
H1_A22,PRIMARY_STRATUM,H1,H1_A22,ALL,composed_path_latency_ns,236700.0,219800.0,268800.0,49000.0,21300.0,407204.99999999994,16000,160,False
H1_A22,PRIMARY_STRATUM,H1,H1_A22,ALL,paired_component_minus_load_difference_ns,-99700.0,-112000.0,-87400.0,24600.0,12300.0,-45600.0,16000,160,True
H1_A26,PRIMARY_STRATUM,H1,H1_A26,ALL,raw_component_latency_ns,10747300.0,9549050.0,19997875.0,10448825.0,1814450.0,22304625.0,4200,42,False
H1_A26,PRIMARY_STRATUM,H1,H1_A26,ALL,paired_h0_latency_ns,5984950.0,5172300.0,9772650.0,4600350.0,1261600.0,11633724.999999993,4200,42,False
H1_A26,PRIMARY_STRATUM,H1,H1_A26,ALL,composed_path_latency_ns,16725100.0,14842450.0,29985275.0,15142825.0,2785550.0,33100689.999999996,4200,42,False
H1_A26,PRIMARY_STRATUM,H1,H1_A26,ALL,paired_component_minus_load_difference_ns,5391050.0,4307200.0,10014400.0,5707200.0,1912550.0,12159539.999999998,4200,42,True
H1_POOLED_202_SECONDARY,SECONDARY_POOLED,H1,H1_POOLED_202_SECONDARY,ALL,raw_component_latency_ns,72700.0,59300.0,171325.0,112025.0,19300.0,20071974.999999996,20200,202,False
H1_POOLED_202_SECONDARY,SECONDARY_POOLED,H1,H1_POOLED_202_SECONDARY,ALL,paired_h0_latency_ns,177100.0,162500.0,245100.0,82600.0,21000.0,9795125.0,20200,202,False
H1_POOLED_202_SECONDARY,SECONDARY_POOLED,H1,H1_POOLED_202_SECONDARY,ALL,composed_path_latency_ns,249100.0,224100.0,404500.0,180400.0,37300.0,30057010.0,20200,202,False
H1_POOLED_202_SECONDARY,SECONDARY_POOLED,H1,H1_POOLED_202_SECONDARY,ALL,paired_component_minus_load_difference_ns,-92900.0,-109000.0,-47000.0,62000.0,18900.0,10097529.999999998,20200,202,True
H2_expected_accept,PRIMARY_STRATUM,H2,expected_accept,ALL,raw_component_latency_ns,12000.0,7200.0,13600.0,6400.0,4000.0,19800.0,10000,100,False
H2_expected_accept,PRIMARY_STRATUM,H2,expected_accept,ALL,paired_h0_latency_ns,165000.0,153800.0,188900.0,35100.0,14100.0,277609.9999999999,10000,100,False
H2_expected_accept,PRIMARY_STRATUM,H2,expected_accept,ALL,composed_path_latency_ns,175600.0,164200.0,198800.0,34600.0,14400.0,295804.99999999994,10000,100,False
H2_expected_accept,PRIMARY_STRATUM,H2,expected_accept,ALL,paired_component_minus_load_difference_ns,-155000.0,-179025.0,-144000.0,35025.0,13600.0,-133300.0,10000,100,True
H2_expected_reject,PRIMARY_STRATUM,H2,expected_reject,ALL,raw_component_latency_ns,7300.0,5000.0,13300.0,8300.0,4100.0,18300.0,6000,60,False
H2_expected_reject,PRIMARY_STRATUM,H2,expected_reject,ALL,paired_h0_latency_ns,163400.0,145700.0,185300.0,39600.0,18600.0,272705.0,6000,60,False
H2_expected_reject,PRIMARY_STRATUM,H2,expected_reject,ALL,composed_path_latency_ns,173400.0,152400.0,194925.0,42525.0,21200.0,286300.0,6000,60,False
H2_expected_reject,PRIMARY_STRATUM,H2,expected_reject,ALL,paired_component_minus_load_difference_ns,-153400.0,-175825.0,-138900.0,36925.0,15900.0,-131100.0,6000,60,True
H3,PRIMARY_STRATUM,H3,H3,ALL,raw_component_latency_ns,551600.0,443775.0,708450.0,264675.0,125800.0,930889.9999999995,4200,42,False
H3,PRIMARY_STRATUM,H3,H3,ALL,paired_h0_latency_ns,5976300.0,5292750.0,9941175.0,4648425.0,985850.0,11729389.999999996,4200,42,False
H3,PRIMARY_STRATUM,H3,H3,ALL,composed_path_latency_ns,6511650.0,5769000.0,10714500.0,4945500.0,1100000.0,12581914.999999996,4200,42,False
H3,PRIMARY_STRATUM,H3,H3,ALL,paired_component_minus_load_difference_ns,-5501050.0,-9193750.0,-4822475.0,4371275.0,971250.0,-4544860.000000001,4200,42,True
H4,PRIMARY_STRATUM,H4,H4,ALL,raw_component_latency_ns,878200.0,731875.0,1149300.0,417425.0,208850.0,1384405.0,4200,42,False
