component_id,reporting_group,artifact_id,descriptor,descriptor_value,artifact_median_component_latency_ns,observed_range_only
H1,H1_A26,052b2dfeb855619b4e74c70e7155e5699a6aebc572c887f1432462ecf4afce6b,canonical_bytes,755121,19741950.0,True
H1,H1_A26,052b2dfeb855619b4e74c70e7155e5699a6aebc572c887f1432462ecf4afce6b,bundle_bytes,755121,19741950.0,True
H1,H1_A26,052b2dfeb855619b4e74c70e7155e5699a6aebc572c887f1432462ecf4afce6b,N_operations,150,19741950.0,True
H1,H1_A26,052b2dfeb855619b4e74c70e7155e5699a6aebc572c887f1432462ecf4afce6b,N_modes,451,19741950.0,True
H1,H1_A26,052b2dfeb855619b4e74c70e7155e5699a6aebc572c887f1432462ecf4afce6b,schedule_operation_count,150,19741950.0,True
H1,H1_A26,0edc936e36dbd00367c35ec096b127c69211776f53ead8d7b9619a78d9b3beb5,canonical_bytes,779480,20584650.0,True
H1,H1_A26,0edc936e36dbd00367c35ec096b127c69211776f53ead8d7b9619a78d9b3beb5,bundle_bytes,779480,20584650.0,True
H1,H1_A26,0edc936e36dbd00367c35ec096b127c69211776f53ead8d7b9619a78d9b3beb5,N_operations,150,20584650.0,True
H1,H1_A26,0edc936e36dbd00367c35ec096b127c69211776f53ead8d7b9619a78d9b3beb5,N_modes,490,20584650.0,True
H1,H1_A26,0edc936e36dbd00367c35ec096b127c69211776f53ead8d7b9619a78d9b3beb5,schedule_operation_count,150,20584650.0,True
H1,H1_A26,19993579c580ecb799e1ce158990340e547863ae75c4be153b97908cb5cd08a2,canonical_bytes,376417,9708650.0,True
H1,H1_A26,19993579c580ecb799e1ce158990340e547863ae75c4be153b97908cb5cd08a2,bundle_bytes,376417,9708650.0,True
H1,H1_A26,19993579c580ecb799e1ce158990340e547863ae75c4be153b97908cb5cd08a2,N_operations,90,9708650.0,True
H1,H1_A26,19993579c580ecb799e1ce158990340e547863ae75c4be153b97908cb5cd08a2,N_modes,172,9708650.0,True
H1,H1_A26,19993579c580ecb799e1ce158990340e547863ae75c4be153b97908cb5cd08a2,schedule_operation_count,90,9708650.0,True
H1,H1_A26,1bb3dc3f26212de23def1f2ca0d598d344fea56b8a73247e2f6390ebea07946d,canonical_bytes,376647,9802950.0,True
H1,H1_A26,1bb3dc3f26212de23def1f2ca0d598d344fea56b8a73247e2f6390ebea07946d,bundle_bytes,376647,9802950.0,True
H1,H1_A26,1bb3dc3f26212de23def1f2ca0d598d344fea56b8a73247e2f6390ebea07946d,N_operations,90,9802950.0,True
H1,H1_A26,1bb3dc3f26212de23def1f2ca0d598d344fea56b8a73247e2f6390ebea07946d,N_modes,172,9802950.0,True
H1,H1_A26,1bb3dc3f26212de23def1f2ca0d598d344fea56b8a73247e2f6390ebea07946d,schedule_operation_count,90,9802950.0,True
H1,H1_A26,2443e5a3d32298289c0b98d2a7d3a03cbf4194a7adecf97293b0ac348944ba9e,canonical_bytes,755111,19715700.0,True
H1,H1_A26,2443e5a3d32298289c0b98d2a7d3a03cbf4194a7adecf97293b0ac348944ba9e,bundle_bytes,755111,19715700.0,True
H1,H1_A26,2443e5a3d32298289c0b98d2a7d3a03cbf4194a7adecf97293b0ac348944ba9e,N_operations,150,19715700.0,True
H1,H1_A26,2443e5a3d32298289c0b98d2a7d3a03cbf4194a7adecf97293b0ac348944ba9e,N_modes,451,19715700.0,True
H1,H1_A26,2443e5a3d32298289c0b98d2a7d3a03cbf4194a7adecf97293b0ac348944ba9e,schedule_operation_count,150,19715700.0,True
H1,H1_A26,245cb7ed72fd0a10da80157bd648a7ae9e8bd9ef722909fe778d274715ad67b3,canonical_bytes,369530,9353100.0,True
H1,H1_A26,245cb7ed72fd0a10da80157bd648a7ae9e8bd9ef722909fe778d274715ad67b3,bundle_bytes,369530,9353100.0,True
H1,H1_A26,245cb7ed72fd0a10da80157bd648a7ae9e8bd9ef722909fe778d274715ad67b3,N_operations,90,9353100.0,True
H1,H1_A26,245cb7ed72fd0a10da80157bd648a7ae9e8bd9ef722909fe778d274715ad67b3,N_modes,172,9353100.0,True
H1,H1_A26,245cb7ed72fd0a10da80157bd648a7ae9e8bd9ef722909fe778d274715ad67b3,schedule_operation_count,90,9353100.0,True
H1,H1_A26,268469c82535bf1ba82a82324d755f40ad8bc7255c875b8e25c2d7943cff1ff3,canonical_bytes,779262,20586250.0,True
H1,H1_A26,268469c82535bf1ba82a82324d755f40ad8bc7255c875b8e25c2d7943cff1ff3,bundle_bytes,779262,20586250.0,True
H1,H1_A26,268469c82535bf1ba82a82324d755f40ad8bc7255c875b8e25c2d7943cff1ff3,N_operations,150,20586250.0,True
H1,H1_A26,268469c82535bf1ba82a82324d755f40ad8bc7255c875b8e25c2d7943cff1ff3,N_modes,490,20586250.0,True
H1,H1_A26,268469c82535bf1ba82a82324d755f40ad8bc7255c875b8e25c2d7943cff1ff3,schedule_operation_count,150,20586250.0,True
H1,H1_A26,2908e9ba69598735be8757d9b153473f5bacec1feb89ecff91ce994824a10178,canonical_bytes,778769,20705950.0,True
H1,H1_A26,2908e9ba69598735be8757d9b153473f5bacec1feb89ecff91ce994824a10178,bundle_bytes,778769,20705950.0,True
H1,H1_A26,2908e9ba69598735be8757d9b153473f5bacec1feb89ecff91ce994824a10178,N_operations,150,20705950.0,True
H1,H1_A26,2908e9ba69598735be8757d9b153473f5bacec1feb89ecff91ce994824a10178,N_modes,490,20705950.0,True
H1,H1_A26,2908e9ba69598735be8757d9b153473f5bacec1feb89ecff91ce994824a10178,schedule_operation_count,150,20705950.0,True
H1,H1_A26,474b6ef7aac2feb7cb9195d7d3644f0d53d378eb4518ef87a9a2f7714d8ef3d5,canonical_bytes,371559,9604850.0,True
