family,subcase,attempted,detected_as_preregistered,undetected,unevaluable,incidental_only_mismatch
M1,ALL,336,336,0,0,0
M2,ALL,42,42,0,0,0
M3,ALL,42,42,0,0,0
M4,ALL,42,42,0,0,0
M5,ALL,42,42,0,0,0
M6,ALL,42,42,0,0,0
M7,ALL,42,42,0,0,0
M8,ALL,42,42,0,0,0
M9,ALL,462,462,0,0,0
M1,M1.01,42,42,0,0,0
M1,M1.02,42,42,0,0,0
M1,M1.03,42,42,0,0,0
M1,M1.04,42,42,0,0,0
M1,M1.05,42,42,0,0,0
M1,M1.06,42,42,0,0,0
M1,M1.07,42,42,0,0,0
M1,M1.08,42,42,0,0,0
M9,M9.01,42,42,0,0,0
M9,M9.02,42,42,0,0,0
M9,M9.03,42,42,0,0,0
M9,M9.04,42,42,0,0,0
M9,M9.05,42,42,0,0,0
M9,M9.06,42,42,0,0,0
M9,M9.07,42,42,0,0,0
M9,M9.08,42,42,0,0,0
M9,M9.09,42,42,0,0,0
M9,M9.10,42,42,0,0,0
M9,M9.11,42,42,0,0,0
